Open,Close,High,Low,Volume,Date
92.75,92.69,94,92.13,,02/07/22
91.3,93.27,93.7,91.2,,02/04/22
89.07,91.11,91.3,88.02,,02/03/22
89.48,89.47,90.52,88.28,,02/02/22
89.62,89.16,89.96,87.72,,02/01/22
90.8,91.21,91.48,90.61,,01/31/22
89.98,90.03,91.7,89.41,,01/28/22
89.7,89.34,91.04,89,,01/27/22
87.95,89.96,90.47,87.79,,01/26/22
86.76,88.2,88.37,86.2,,01/25/22
87.93,86.27,88.9,85.04,,01/24/22
86.75,87.89,88.23,85.71,,01/21/22
87.89,88.38,89.5,87.05,,01/20/22
88.65,88.44,89.17,87.61,,01/19/22
86.47,87.51,88.66,86.44,,01/18/22
86.15,86.48,86.71,85.54,,01/17/22
84.12,86.06,86.5,83.99,,01/14/22
84.87,84.47,85.1,83.79,,01/13/22
83.78,84.67,85.21,83.52,,01/12/22
81.08,83.72,83.98,80.89,,01/11/22
81.76,80.87,82.3,80.5,,01/10/22
82,81.75,83,81.42,,01/07/22
80.22,81.99,82.83,79.61,,01/06/22
80.07,80.8,81.5,79.51,,01/05/22
78.91,80,80.55,78.62,,01/04/22
78.11,78.98,79.28,77.04,,01/03/22
78.81,77.78,79.68,77.55,,12/31/21
79.19,79.32,79.66,78.5,,12/30/21
79.28,79.23,80.17,78.13,,12/29/21
78.67,78.94,79.85,78.48,,12/28/21
76.32,78.6,79.08,75.75,,12/27/21
76.72,76.14,76.79,75.75,,12/24/21
75.47,76.85,77,74.78,,12/23/21
74.05,75.29,75.67,73.62,,12/22/21
71.88,73.98,74.27,71.24,,12/21/21
72.82,71.52,72.87,69.28,,12/20/21
74.5,73.52,74.98,72.65,,12/17/21
74.47,75.02,75.61,74,,12/16/21
73.25,73.88,74.58,72.5,,12/15/21
74.42,73.7,75.16,72.57,,12/14/21
75.37,74.39,76.39,74.2,,12/13/21
73.99,75.15,75.71,73.8,,12/10/21
75.94,74.42,76.7,73.84,,12/09/21
75.44,75.82,76.37,74.38,,12/08/21
73.6,75.44,76.27,73.2,,12/07/21
70.24,73.08,73.8,70.24,,12/06/21
70.22,69.88,72.62,69.24,,12/03/21
69.72,69.67,70.7,65.72,,12/02/21
69.8,68.87,72.87,68.14,,12/01/21
74.42,70.57,74.56,70.22,,11/30/21
73.88,73.44,77.02,72.41,,11/29/21
81.65,72.72,81.66,72.14,,11/26/21
82.24,82.22,82.58,81.7,,11/25/21
81.88,82.25,83,81.74,,11/24/21
79.51,82.31,82.6,78.55,,11/23/21
78.58,79.7,80.07,77.58,,11/22/21
81,78.89,82.24,78.05,,11/19/21
80.1,81.24,81.41,79.28,,11/18/21
82.05,80.28,82.22,79.78,,11/17/21
82,82.43,83.14,81.52,,11/16/21
81.92,82.05,82.49,80.67,,11/15/21
82.83,82.17,82.87,81.26,,11/12/21
82.85,82.87,83.44,81.66,,11/11/21
84.99,82.64,85.5,82.08,,11/10/21
83.47,84.78,85.3,83.16,,11/09/21
82.58,83.43,84,82.53,,11/08/21
81.25,82.74,83.16,80.26,,11/05/21
81.58,80.54,84.49,80.2,,11/04/21
84.07,81.99,84.2,81.1,,11/03/21
84.45,84.72,85.23,83.76,,11/02/21
83.63,84.71,85.12,83.03,,11/01/21
84.33,83.72,84.83,83.79,,10/29/21
84.21,84.32,84.59,82.32,,10/28/21
86.07,84.58,86.28,84.05,,10/27/21
86.03,86.4,86.5,85.27,,10/26/21
85.65,85.99,86.7,85.43,,10/25/21
84.52,85.53,85.93,83.82,,10/22/21
85.9,84.61,86.1,83.36,,10/21/21
85.19,85.82,85.89,83.61,,10/20/21
84.21,85.08,85.4,83.7,,10/19/21
84.95,84.33,86.04,83.95,,10/18/21
84.3,84.86,85.1,84.16,,10/15/21
83.45,84,84.5,83.18,,10/14/21
83.1,83.18,83.69,82.2,,10/13/21
83.49,83.42,84.23,82.72,,10/12/21
82.65,83.65,84.6,82.54,,10/11/21
82.38,82.39,83.43,81.96,,10/08/21
80.98,81.95,82.5,79.08,,10/07/21
82.57,81.08,83.47,80.6,,10/06/21
81.27,82.56,83.13,81.19,,10/05/21
79.49,81.26,82,78.75,,10/04/21
78.49,79.28,79.41,77.55,,10/01/21
78.46,78.52,79.11,77.6,,09/30/21
78.25,78.64,79.4,77.5,,09/29/21
79.4,79.09,80.75,78.1,,09/28/21
78.25,79.53,79.9,78.21,,09/27/21
77.26,78.09,78.24,76.85,,09/24/21
75.9,77.25,77.35,75.6,,09/23/21
74.56,76.19,76.26,74.49,,09/22/21
74.33,74.36,75.18,73.26,,09/21/21
75.33,73.92,75.4,73.52,,09/20/21
75.68,75.34,75.78,74.58,,09/17/21
75.46,75.67,75.87,74.48,,09/16/21
73.92,75.46,76.13,73.78,,09/15/21
73.62,73.6,74.28,73.08,,09/14/21
72.88,73.51,73.92,72.69,,09/13/21
71.37,72.92,73.15,70.94,,09/10/21
72.61,71.45,73.2,70.88,,09/09/21
71.64,72.6,72.95,71.55,,09/08/21
72.29,71.69,72.81,71.1,,09/07/21
72.57,72.22,72.78,71.51,,09/06/21
72.86,72.61,73.69,72.4,,09/03/21
71.31,73.03,73.47,70.92,,09/02/21
71.68,71.59,72.38,70.42,,09/01/21
